rank,run,frequency_hz,composite_recognisability,enrichment_factor,coverage_recall,gaussian_contrast,directional_alignment
64,pipeline_diagonal_v1_w6_pipeline_diagonal_v1_v1,540.0,0.20065674760241894,1.1893120411756977,0.3003003003003003,1.2002006333859068,0.047189007347785805
65,pipeline_ic_multifreq_probe_w6_pipeline_ic_full_v1,720.0,0.19826993489917696,1.1002406179577848,0.36936936936936937,1.1055514441380998,0.29178713304337434
66,tags_ic_case_a_target_thick,291.0,0.19222854885863858,1.1445622365512365,0.10043376710043377,1.152546823988419,0.7969469898001262
67,pipeline_diagonal_v1_w4_pipeline_diagonal_v1,860.0,0.18199593605583653,1.0414592279157056,0.19119119119119118,1.0435325507185276,0.998671171357788
68,tags_ic_case_a_target_thick,296.0,0.17887980513153273,1.106590616473149,0.08508508508508508,1.1122721596381409,0.9155978811646982
69,tags_ic_case_a_target_thick,301.1,0.17261292155941618,1.1827506945354196,0.1991991991991992,1.1932004992235976,0.10388194289968335
70,tags_ic_case_a_target_thick_probe,301.1,0.17261292155941618,1.1827506945354196,0.1991991991991992,1.1932004992235976,0.10388194289968335
71,pipeline_ic_full_w3_pipeline_ic_full,636.547,0.14191283719570358,0.9881792103225946,0.2639305972639306,0.9876197790398966,0.6273365801652441
72,pipeline_ic_multifreq_probe_w6_pipeline_ic_full_v1,920.0,0.13522453969414244,0.9929521685007854,0.21154487821154488,0.9926167880615101,0.71761076230679
73,pipeline_diagonal_v1_w4_pipeline_diagonal_v1,750.0,0.128408605653494,1.015684064826258,0.22622622622622623,1.0164479277854637,0.5105297623207588
74,tags_ic_case_a_target_thick,311.0,0.12825725406029567,1.03083872258235,0.037037037037037035,1.0323643680712509,0.986267021715055
75,diagonal_dense_sweep,900.0,0.12256961554598986,0.8060001730016823,0.16716716716716717,0.7985760016831966,0.724194653958397
76,diagonal_dense_sweep,560.0,0.11726895992325691,0.8975181488306052,0.1504838171504838,0.8931317408320716,0.7212381477811176
77,diagonal_dense_sweep,1000.0,0.10516659528564364,1.0013299876292505,0.2132132132132132,1.0013939177115458,0.40392400308013243
78,pipeline_ic_multifreq_probe_w6_pipeline_ic_full_v1,540.0,0.10277861897459378,0.9166785214991146,0.1504838171504838,0.9130327601510247,0.5763347382944864
79,tags_ic_case_a_target_thick,316.0,0.10003093254837694,0.9941797578308103,0.000667334000667334,0.9939026202093718,0.9983073234817673
80,tags_ic_case_a_target_thick,326.0,0.09999929683179892,0.9329644546617036,0.0,0.9299768710740446,0.9999929683179891
